N,N_d,N_p,K,basis,noise_level,compute_model_posterior,random_seed,n_jobs,prior_type,alpha,method,dofs,n_samples,use_fast_transforms,bc_config,k,s,snr,noise_std,model_rms_error,model_relative_error,property_mean_abs_error,property_rms_error,property_max_error,properties_within_2sigma,properties_within_2sigma_pct,data_misfit_posterior,data_misfit_prior,data_fit_improvement_pct,setup_spaces,create_operators,generate_data,setup_prior,model_posterior_compute,property_mapping,property_covariance_extract,inference_total,total,run_name,status
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.5,0.5,10.0,0.10098413535602901,0.9099335171386531,1.473541191818133,0.28010434049355043,0.37222659889841336,0.971518250117442,20,100.0,0.24250219069614978,1.5986260961790317,84.83058726016245,5.0067901611328125e-06,0.00016689300537109375,0.02058100700378418,0.000152587890625,1.1149373054504395,0.0294191837310791,0.6806461811065674,1.8250329494476318,4.926339149475098,k0.5_s0.5,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.5,1.0,10.0,0.10098413535602901,0.6879342552184525,1.1140368425099494,0.27717771427223326,0.3801310713928612,1.0149592267206737,20,100.0,0.2887411066537461,1.5986260961790317,81.93817132449652,8.344650268554688e-06,0.00013399124145507812,0.01903843879699707,0.00013709068298339844,1.001866102218628,0.027905702590942383,0.6709394454956055,1.7007420063018799,3.820585012435913,k0.5_s1.0,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.5,1.5,10.0,0.10098413535602901,0.5306386660913106,0.8593132550120446,0.24187061893328746,0.35430638116435176,0.9745742979676426,20,100.0,0.3404263151420663,1.5986260961790317,78.705069562186,8.344650268554688e-06,0.00010704994201660156,0.019221782684326172,0.00013303756713867188,0.9347314834594727,0.02804088592529297,0.648388147354126,1.6111903190612793,3.6299538612365723,k0.5_s1.5,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.5,2.0,10.0,0.10098413535602901,0.4328148981879923,0.7008979984802519,0.20500320297721347,0.3187859661915003,0.8828947774881954,20,100.0,0.38057609330563513,1.5986260961790317,76.19355181206713,8.344650268554688e-06,0.00010848045349121094,0.020276308059692383,0.00013589859008789062,1.02984619140625,0.029076099395751953,0.6376092433929443,1.6965620517730713,3.7719740867614746,k0.5_s2.0,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",1.0,0.5,10.0,0.10098413535602901,0.9075991580820629,1.4697609439631072,0.2733132861253303,0.3628370011808786,0.9420606589314331,20,100.0,0.2426451110527385,1.5986260961790317,84.82164706101705,8.344650268554688e-06,0.00010538101196289062,0.01925802230834961,0.00016188621520996094,1.0021615028381348,0.02767205238342285,0.6492407321929932,1.6791014671325684,3.7979631423950195,k1.0_s0.5,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",1.0,1.0,10.0,0.10098413535602901,0.6782928225451276,1.098423560962787,0.26715523689847254,0.3628572272487658,0.9667949867092873,20,100.0,0.28922761544889725,1.5986260961790317,81.90773839234848,1.049041748046875e-05,0.00010824203491210938,0.01944708824157715,0.00013375282287597656,0.987234354019165,0.028467655181884766,0.6103963851928711,1.6261301040649414,3.7245328426361084,k1.0_s1.0,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",1.0,1.5,10.0,0.10098413535602901,0.5150584508249816,0.8340827425186453,0.23111401251130553,0.33344175809783744,0.9187996231224247,20,100.0,0.34123283927715603,1.5986260961790317,78.65461848191042,8.821487426757812e-06,0.00011324882507324219,0.019599437713623047,0.0001342296600341797,0.9503586292266846,0.027970314025878906,0.6161112785339355,1.594468593597412,3.6436378955841064,k1.0_s1.5,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",1.0,2.0,10.0,0.10098413535602901,0.4138463056029605,0.670180366918823,0.19107777809970783,0.2962839919750089,0.8244031610667637,20,100.0,0.3816552205218356,1.5986260961790317,76.12604839655428,1.049041748046875e-05,0.000110626220703125,0.019650697708129883,0.00015282630920410156,1.0016918182373047,0.02773261070251465,0.5877478122711182,1.6172044277191162,3.6428627967834473,k1.0_s2.0,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",2.0,0.5,10.0,0.10098413535602901,0.9027586921720169,1.461922320842076,0.2606641088457203,0.34606295744204757,0.8866424235663297,20,100.0,0.2430269675515807,1.5986260961790317,84.79776051870707,5.7220458984375e-06,0.00011134147644042969,0.02011561393737793,0.0001442432403564453,0.9679179191589355,0.029022216796875,0.6447124481201172,1.6416771411895752,3.793100595474243,k2.0_s0.5,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",2.0,1.0,10.0,0.10098413535602901,0.657929949181847,1.0654480389939682,0.24490950946494383,0.32711968790214263,0.861080323915608,20,100.0,0.29070765761653233,1.5986260961790317,81.8151562575283,5.4836273193359375e-06,0.0001087188720703125,0.020427942276000977,0.00011992454528808594,1.0244476795196533,0.027718782424926758,0.6666147708892822,1.7188053131103516,3.8714184761047363,k2.0_s1.0,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",2.0,1.5,10.0,0.10098413535602901,0.47764829521647184,0.7735009480873216,0.2028232071033187,0.2819657246547973,0.7745353059943474,20,100.0,0.34406055318952994,1.5986260961790317,78.47773447387797,5.245208740234375e-06,0.00010943412780761719,0.020477771759033203,0.0001239776611328125,0.9502809047698975,0.028690814971923828,0.637399435043335,1.6163959503173828,3.8306572437286377,k2.0_s1.5,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",2.0,2.0,10.0,0.10098413535602901,0.36297130628528756,0.5877936807309712,0.15911168109635754,0.2325718468078527,0.652224039486184,20,100.0,0.38604020562859687,1.5986260961790317,75.85175129123103,4.76837158203125e-06,0.00013780593872070312,0.02040839195251465,0.00012922286987304688,0.9694807529449463,0.02904510498046875,0.6321103572845459,1.6306610107421875,3.7328920364379883,k2.0_s2.0,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",5.0,0.5,10.0,0.10098413535602901,0.8859421509363873,1.434689709065635,0.2456692473879906,0.31271803312551855,0.770660076632327,20,100.0,0.24463298592179467,1.5986260961790317,84.69729810450949,5.0067901611328125e-06,0.00010967254638671875,0.02039933204650879,0.00011658668518066406,0.9862992763519287,0.02961134910583496,0.6668055057525635,1.6827402114868164,3.864098310470581,k5.0_s0.5,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",5.0,1.0,10.0,0.10098413535602901,0.6085600247027447,0.9854986624882314,0.20522015168585866,0.2574835514100216,0.627188370976034,20,100.0,0.2972883473395872,1.5986260961790317,81.40350967307782,4.76837158203125e-06,0.00010919570922851562,0.020175933837890625,0.000118255615234375,0.9801042079925537,0.028054475784301758,0.6114881038665771,1.6196715831756592,3.8009419441223145,k5.0_s1.0,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",5.0,1.5,10.0,0.10098413535602901,0.4048658312788051,0.6556374375844685,0.15435997447368197,0.1876315637567739,0.4449584040550575,20,100.0,0.3578394392372695,1.5986260961790317,77.61581397347621,6.198883056640625e-06,0.00011682510375976562,0.019701719284057617,0.00014352798461914062,1.0025429725646973,0.02811288833618164,0.6289186477661133,1.6595990657806396,3.7733993530273438,k5.0_s1.5,success
100,50,20,100,,0.1,False,42,30,bessel_sobolev,0.1,spectral,100,2048,True,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",5.0,2.0,10.0,0.10098413535602901,0.292588568983783,0.4738162739718373,0.11713861509298606,0.1461823909298045,0.33639228746349104,20,100.0,0.41129197227429076,1.5986260961790317,74.27215949637358,7.152557373046875e-06,0.00013256072998046875,0.019506216049194336,0.00013709068298339844,1.068816900253296,0.02833867073059082,0.5934386253356934,1.690617561340332,3.703040599822998,k5.0_s2.0,success
