success,execution_time,failure_type,failure_stage,error_message,warnings_count,memory_peak,param_N,param_N_d,param_N_p,param_endpoints,param_basis_type,param_integration_method_G,param_integration_method_T,param_n_points_G,param_n_points_T,param_alpha,param_K,param_true_data_noise,param_assumed_data_noise,param_m_bar_callable,param_m_0_callable,param_solver,result_compute_property_posterior_detailed
True,5.757388353347778,,,,0,,15,30,5,"(0, 1)",sine,trapz,trapz,200,200,0.001,20,0.1,0.1,<function create_base_config.<locals>.<lambda> at 0x7f4295a2c040>,<function create_base_config.<locals>.<lambda> at 0x7f4295a2c2c0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f42995f3090>,"{'model_posterior_measure_time': 0.5278868675231934, 'property_mapping_time': 0.0004069805145263672, 'cov_P_matrix_time': 0.6271286010742188, 'property_operator_analysis_time': 1.7628693580627441, 'normal_operator_time': 6.4373016357421875e-06, 'normal_op_matrix_time': 0.43243980407714844, 'solver_time': 0.42995595932006836, 'posterior_mean_time': 0.09730243682861328, 'posterior_cov_time': 1.4543533325195312e-05, 'C_M_matrix_time': 1.872767448425293, 'solver_failed': False, 'normal_op_shape': (30, 30), 'normal_op_min_eigenvalue': 2.4584129903255457e-05, 'normal_op_max_eigenvalue': 2.6548322700235136e-05, 'normal_op_num_negative_eigenvalues': 0, 'normal_op_condition_number': 1.0798967791298393, 'normal_op_is_positive_definite': True, 'normal_op_is_invertible': True, 'model_post_shape': (15, 15), 'model_post_min_eigenvalue': 4.3281869368443497e-07, 'model_post_max_eigenvalue': 9.990238834101277e-05, 'model_post_num_negative_eigenvalues': 0, 'model_post_condition_number': 230.81809958479033, 'model_post_is_positive_definite': True, 'model_post_is_invertible': True, 'model_cov_P_measure_failed': False, 'model_cov_P_measure_error': None, 'property_post_shape': (5, 5), 'property_post_min_eigenvalue': 1.9703916053509216e-05, 'property_post_max_eigenvalue': 0.0004485894596850838, 'property_post_num_negative_eigenvalues': 0, 'property_post_condition_number': 22.766512934122613, 'property_post_is_positive_definite': True, 'property_post_is_invertible': True, 'property_cov_P_measure_failed': False, 'property_cov_P_measure_error': None, 'property_operator_shape': (5, 15), 'property_operator_rank': 5, 'property_operator_condition': 1.0514044997459662, 'property_operator_min_singular': 2.869497905790172, 'property_operator_max_singular': 3.0170030101594136, 'explicit_vs_affine_diff_norm': 6.589547225870718e-06, 'explicit_computation_successful': True, 'explicit_shape': (5, 5), 'explicit_min_eigenvalue': 2.080457876223104e-05, 'explicit_max_eigenvalue': 0.0004451476830226057, 'explicit_num_negative_eigenvalues': 0, 'explicit_condition_number': 21.39662081650669, 'explicit_is_positive_definite': True, 'explicit_is_invertible': True}"
True,13.094180583953857,,,,0,,25,50,5,"(0, 1)",sine,trapz,trapz,200,200,0.001,20,0.1,0.1,<function create_base_config.<locals>.<lambda> at 0x7f4295a2efc0>,<function create_base_config.<locals>.<lambda> at 0x7f4295a2c360>,<pygeoinf.linear_solvers.LUSolver object at 0x7f42995f1b50>,"{'model_posterior_measure_time': 0.9956610202789307, 'property_mapping_time': 0.0003905296325683594, 'cov_P_matrix_time': 0.9475760459899902, 'property_operator_analysis_time': 4.703299045562744, 'normal_operator_time': 5.4836273193359375e-06, 'normal_op_matrix_time': 0.7906641960144043, 'solver_time': 0.7871987819671631, 'posterior_mean_time': 0.14766216278076172, 'posterior_cov_time': 1.1444091796875e-05, 'C_M_matrix_time': 4.713285684585571, 'solver_failed': False, 'normal_op_shape': (50, 50), 'normal_op_min_eigenvalue': 2.4583973129451354e-05, 'normal_op_max_eigenvalue': 2.760793277671979e-05, 'normal_op_num_negative_eigenvalues': 0, 'normal_op_condition_number': 1.1230053267364568, 'normal_op_is_positive_definite': True, 'normal_op_is_invertible': True, 'model_post_shape': (25, 25), 'model_post_min_eigenvalue': 1.5408312178057922e-07, 'model_post_max_eigenvalue': 9.906748946669048e-05, 'model_post_num_negative_eigenvalues': 0, 'model_post_condition_number': 642.9483536020688, 'model_post_is_positive_definite': True, 'model_post_is_invertible': True, 'model_cov_P_measure_failed': False, 'model_cov_P_measure_error': None, 'property_post_shape': (5, 5), 'property_post_min_eigenvalue': 1.938445188279721e-05, 'property_post_max_eigenvalue': 0.00044461376071289844, 'property_post_num_negative_eigenvalues': 0, 'property_post_condition_number': 22.93661762535944, 'property_post_is_positive_definite': True, 'property_post_is_invertible': True, 'property_cov_P_measure_failed': False, 'property_cov_P_measure_error': None, 'property_operator_shape': (5, 25), 'property_operator_rank': 5, 'property_operator_condition': 1.04724441424558, 'property_operator_min_singular': 2.896458030213552, 'property_operator_max_singular': 3.0332994932378976, 'explicit_vs_affine_diff_norm': 6.4987787110424735e-06, 'explicit_computation_successful': True, 'explicit_shape': (5, 5), 'explicit_min_eigenvalue': 2.0528001581247727e-05, 'explicit_max_eigenvalue': 0.0004412710906308888, 'explicit_num_negative_eigenvalues': 0, 'explicit_condition_number': 21.496056929086986, 'explicit_is_positive_definite': True, 'explicit_is_invertible': True}"
True,6.159501552581787,,,,0,,15,30,10,"(0, 1)",sine,trapz,trapz,200,200,0.001,20,0.1,0.1,<function create_base_config.<locals>.<lambda> at 0x7f4295a2f100>,<function create_base_config.<locals>.<lambda> at 0x7f4295a2d9e0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f42995f1bd0>,"{'model_posterior_measure_time': 0.49556875228881836, 'property_mapping_time': 0.0006561279296875, 'cov_P_matrix_time': 1.1998214721679688, 'property_operator_analysis_time': 1.7788879871368408, 'normal_operator_time': 6.198883056640625e-06, 'normal_op_matrix_time': 0.4048793315887451, 'solver_time': 0.40657567977905273, 'posterior_mean_time': 0.09140849113464355, 'posterior_cov_time': 1.2636184692382812e-05, 'C_M_matrix_time': 1.7761249542236328, 'solver_failed': False, 'normal_op_shape': (30, 30), 'normal_op_min_eigenvalue': 2.4584129903255457e-05, 'normal_op_max_eigenvalue': 2.6548322700235136e-05, 'normal_op_num_negative_eigenvalues': 0, 'normal_op_condition_number': 1.0798967791298393, 'normal_op_is_positive_definite': True, 'normal_op_is_invertible': True, 'model_post_shape': (15, 15), 'model_post_min_eigenvalue': 4.3281869368443497e-07, 'model_post_max_eigenvalue': 9.990238834101277e-05, 'model_post_num_negative_eigenvalues': 0, 'model_post_condition_number': 230.81809958479033, 'model_post_is_positive_definite': True, 'model_post_is_invertible': True, 'model_cov_P_measure_failed': False, 'model_cov_P_measure_error': None, 'property_post_shape': (10, 10), 'property_post_min_eigenvalue': 6.857856645422343e-06, 'property_post_max_eigenvalue': 0.001002453132174676, 'property_post_num_negative_eigenvalues': 0, 'property_post_condition_number': 146.17586572676743, 'property_post_is_positive_definite': True, 'property_post_is_invertible': True, 'property_cov_P_measure_failed': False, 'property_cov_P_measure_error': None, 'property_operator_shape': (10, 15), 'property_operator_rank': 10, 'property_operator_condition': 1.1113494079055546, 'property_operator_min_singular': 2.840714858860307, 'property_operator_max_singular': 3.1570267764229136, 'explicit_vs_affine_diff_norm': 9.016327955652145e-06, 'explicit_computation_successful': True, 'explicit_shape': (10, 10), 'explicit_min_eigenvalue': 7.951172902632569e-06, 'explicit_max_eigenvalue': 0.0009956649735416542, 'explicit_num_negative_eigenvalues': 0, 'explicit_condition_number': 125.22240249762368, 'explicit_is_positive_definite': True, 'explicit_is_invertible': True}"
True,13.373562574386597,,,,0,,25,50,10,"(0, 1)",sine,trapz,trapz,200,200,0.001,20,0.1,0.1,<function create_base_config.<locals>.<lambda> at 0x7f4295a2c9a0>,<function create_base_config.<locals>.<lambda> at 0x7f4295a2eca0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f42995f1450>,"{'model_posterior_measure_time': 0.9259870052337646, 'property_mapping_time': 0.0006175041198730469, 'cov_P_matrix_time': 1.7532215118408203, 'property_operator_analysis_time': 4.505723476409912, 'normal_operator_time': 5.4836273193359375e-06, 'normal_op_matrix_time': 0.7816944122314453, 'solver_time': 0.7799246311187744, 'posterior_mean_time': 0.14641809463500977, 'posterior_cov_time': 9.059906005859375e-06, 'C_M_matrix_time': 4.471724033355713, 'solver_failed': False, 'normal_op_shape': (50, 50), 'normal_op_min_eigenvalue': 2.4583973129451354e-05, 'normal_op_max_eigenvalue': 2.760793277671979e-05, 'normal_op_num_negative_eigenvalues': 0, 'normal_op_condition_number': 1.1230053267364568, 'normal_op_is_positive_definite': True, 'normal_op_is_invertible': True, 'model_post_shape': (25, 25), 'model_post_min_eigenvalue': 1.5408312178057922e-07, 'model_post_max_eigenvalue': 9.906748946669048e-05, 'model_post_num_negative_eigenvalues': 0, 'model_post_condition_number': 642.9483536020688, 'model_post_is_positive_definite': True, 'model_post_is_invertible': True, 'model_cov_P_measure_failed': False, 'model_cov_P_measure_error': None, 'property_post_shape': (10, 10), 'property_post_min_eigenvalue': 6.837108732825924e-06, 'property_post_max_eigenvalue': 0.000994067118347939, 'property_post_num_negative_eigenvalues': 0, 'property_post_condition_number': 145.39290761536122, 'property_post_is_positive_definite': True, 'property_post_is_invertible': True, 'property_cov_P_measure_failed': False, 'property_cov_P_measure_error': None, 'property_operator_shape': (10, 25), 'property_operator_rank': 10, 'property_operator_condition': 1.1135135665174665, 'property_operator_min_singular': 2.8422925509522363, 'property_operator_max_singular': 3.1649313154968524, 'explicit_vs_affine_diff_norm': 8.906761673759062e-06, 'explicit_computation_successful': True, 'explicit_shape': (10, 10), 'explicit_min_eigenvalue': 7.833191447453217e-06, 'explicit_max_eigenvalue': 0.0009873562685515716, 'explicit_num_negative_eigenvalues': 0, 'explicit_condition_number': 126.04776420632334, 'explicit_is_positive_definite': True, 'explicit_is_invertible': True}"
False,6.733069181442261,numerical_instability,compute_property_posterior,Property posterior covariance not PD (min eigenvalue: -2.7360642748664815e-08); Property measure construction failed: Covariance matrix is not non-negative,0,,15,30,15,"(0, 1)",sine,trapz,trapz,200,200,0.001,20,0.1,0.1,<function create_base_config.<locals>.<lambda> at 0x7f429938cd60>,<function create_base_config.<locals>.<lambda> at 0x7f42996137e0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f42995f0f90>,"{'model_posterior_measure_time': 0.4952857494354248, 'property_mapping_time': 0.0008816719055175781, 'cov_P_matrix_time': 1.7896461486816406, 'property_operator_analysis_time': 1.7835361957550049, 'normal_operator_time': 5.245208740234375e-06, 'normal_op_matrix_time': 0.40244412422180176, 'solver_time': 0.39934420585632324, 'posterior_mean_time': 0.09073185920715332, 'posterior_cov_time': 6.4373016357421875e-06, 'C_M_matrix_time': 1.7660088539123535, 'solver_failed': False, 'normal_op_shape': (30, 30), 'normal_op_min_eigenvalue': 2.4584129903255457e-05, 'normal_op_max_eigenvalue': 2.6548322700235136e-05, 'normal_op_num_negative_eigenvalues': 0, 'normal_op_condition_number': 1.0798967791298393, 'normal_op_is_positive_definite': True, 'normal_op_is_invertible': True, 'model_post_shape': (15, 15), 'model_post_min_eigenvalue': 4.3281869368443497e-07, 'model_post_max_eigenvalue': 9.990238834101277e-05, 'model_post_num_negative_eigenvalues': 0, 'model_post_condition_number': 230.81809958479033, 'model_post_is_positive_definite': True, 'model_post_is_invertible': True, 'model_cov_P_measure_failed': False, 'model_cov_P_measure_error': None, 'property_post_shape': (15, 15), 'property_post_min_eigenvalue': -2.7360642748664815e-08, 'property_post_max_eigenvalue': 0.0015405797542413007, 'property_post_num_negative_eigenvalues': 1, 'property_post_condition_number': 56306.41678973277, 'property_post_is_positive_definite': False, 'property_post_is_invertible': True, 'property_cov_P_measure_failed': True, 'property_cov_P_measure_error': 'Covariance matrix is not non-negative', 'property_operator_shape': (15, 15), 'property_operator_rank': 15, 'property_operator_condition': 2.8005284257388183, 'property_operator_min_singular': 1.4105031126226697, 'property_operator_max_singular': 3.9501540614928685, 'explicit_vs_affine_diff_norm': 6.246410496691236e-05, 'explicit_computation_successful': True, 'explicit_shape': (15, 15), 'explicit_min_eigenvalue': 8.761258595052804e-07, 'explicit_max_eigenvalue': 0.0015558950315545882, 'explicit_num_negative_eigenvalues': 0, 'explicit_condition_number': 1775.880730689939, 'explicit_is_positive_definite': True, 'explicit_is_invertible': True}"
False,14.386802911758423,numerical_instability,compute_property_posterior,Property posterior covariance not PD (min eigenvalue: -2.4627168835083265e-08); Property measure construction failed: Covariance matrix is not non-negative,0,,25,50,15,"(0, 1)",sine,trapz,trapz,200,200,0.001,20,0.1,0.1,<function create_base_config.<locals>.<lambda> at 0x7f4299612700>,<function create_base_config.<locals>.<lambda> at 0x7f42959902c0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f42995f2590>,"{'model_posterior_measure_time': 0.9412038326263428, 'property_mapping_time': 0.0008769035339355469, 'cov_P_matrix_time': 2.633695125579834, 'property_operator_analysis_time': 4.556673526763916, 'normal_operator_time': 4.0531158447265625e-06, 'normal_op_matrix_time': 0.7914707660675049, 'solver_time': 0.7845427989959717, 'posterior_mean_time': 0.1462719440460205, 'posterior_cov_time': 6.67572021484375e-06, 'C_M_matrix_time': 4.524453639984131, 'solver_failed': False, 'normal_op_shape': (50, 50), 'normal_op_min_eigenvalue': 2.4583973129451354e-05, 'normal_op_max_eigenvalue': 2.760793277671979e-05, 'normal_op_num_negative_eigenvalues': 0, 'normal_op_condition_number': 1.1230053267364568, 'normal_op_is_positive_definite': True, 'normal_op_is_invertible': True, 'model_post_shape': (25, 25), 'model_post_min_eigenvalue': 1.5408312178057922e-07, 'model_post_max_eigenvalue': 9.906748946669048e-05, 'model_post_num_negative_eigenvalues': 0, 'model_post_condition_number': 642.9483536020688, 'model_post_is_positive_definite': True, 'model_post_is_invertible': True, 'model_cov_P_measure_failed': False, 'model_cov_P_measure_error': None, 'property_post_shape': (15, 15), 'property_post_min_eigenvalue': -2.4627168835083265e-08, 'property_post_max_eigenvalue': 0.001527627644261319, 'property_post_num_negative_eigenvalues': 1, 'property_post_condition_number': 62030.177097949556, 'property_post_is_positive_definite': False, 'property_post_is_invertible': True, 'property_cov_P_measure_failed': True, 'property_cov_P_measure_error': 'Covariance matrix is not non-negative', 'property_operator_shape': (15, 25), 'property_operator_rank': 15, 'property_operator_condition': 2.6399307680381368, 'property_operator_min_singular': 1.4964251295351017, 'property_operator_max_singular': 3.950458741525169, 'explicit_vs_affine_diff_norm': 6.200193365569036e-05, 'explicit_computation_successful': True, 'explicit_shape': (15, 15), 'explicit_min_eigenvalue': 9.3848162732928e-07, 'explicit_max_eigenvalue': 0.0015428890369968149, 'explicit_num_negative_eigenvalues': 0, 'explicit_condition_number': 1644.0268962830423, 'explicit_is_positive_definite': True, 'explicit_is_invertible': True}"
False,7.341834306716919,numerical_instability,compute_property_posterior,Property posterior covariance not PD (min eigenvalue: -4.034005742388468e-06); Property measure construction failed: Covariance matrix is not non-negative,0,,15,30,20,"(0, 1)",sine,trapz,trapz,200,200,0.001,20,0.1,0.1,<function create_base_config.<locals>.<lambda> at 0x7f4295990220>,<function create_base_config.<locals>.<lambda> at 0x7f4295990180>,<pygeoinf.linear_solvers.LUSolver object at 0x7f42995f0b50>,"{'model_posterior_measure_time': 0.49616384506225586, 'property_mapping_time': 0.0011518001556396484, 'cov_P_matrix_time': 2.3843703269958496, 'property_operator_analysis_time': 1.8004992008209229, 'normal_operator_time': 5.7220458984375e-06, 'normal_op_matrix_time': 0.40138864517211914, 'solver_time': 0.3992331027984619, 'posterior_mean_time': 0.09060168266296387, 'posterior_cov_time': 6.9141387939453125e-06, 'C_M_matrix_time': 1.7629494667053223, 'solver_failed': False, 'normal_op_shape': (30, 30), 'normal_op_min_eigenvalue': 2.4584129903255457e-05, 'normal_op_max_eigenvalue': 2.6548322700235136e-05, 'normal_op_num_negative_eigenvalues': 0, 'normal_op_condition_number': 1.0798967791298393, 'normal_op_is_positive_definite': True, 'normal_op_is_invertible': True, 'model_post_shape': (15, 15), 'model_post_min_eigenvalue': 4.3281869368443497e-07, 'model_post_max_eigenvalue': 9.990238834101277e-05, 'model_post_num_negative_eigenvalues': 0, 'model_post_condition_number': 230.81809958479033, 'model_post_is_positive_definite': True, 'model_post_is_invertible': True, 'model_cov_P_measure_failed': False, 'model_cov_P_measure_error': None, 'property_post_shape': (20, 20), 'property_post_min_eigenvalue': -4.034005742388468e-06, 'property_post_max_eigenvalue': 0.002112509229779627, 'property_post_num_negative_eigenvalues': 3, 'property_post_condition_number': 523.6753154765827, 'property_post_is_positive_definite': False, 'property_post_is_invertible': True, 'property_cov_P_measure_failed': True, 'property_cov_P_measure_error': 'Covariance matrix is not non-negative', 'property_operator_shape': (20, 15), 'property_operator_rank': 15, 'property_operator_condition': 3.348265663718498, 'property_operator_min_singular': 1.373696114582718, 'property_operator_max_singular': 4.599499532840826, 'explicit_vs_affine_diff_norm': 6.531208322462566e-05, 'explicit_computation_successful': True, 'explicit_shape': (20, 20), 'explicit_min_eigenvalue': -8.950854051278649e-10, 'explicit_max_eigenvalue': 0.0021121291655337446, 'explicit_num_negative_eigenvalues': 2, 'explicit_condition_number': 2359695.6820360874, 'explicit_is_positive_definite': False, 'explicit_is_invertible': True}"
